matrix_size,	elapsed_time
401,	0.012512
402,	0.013106
403,	0.012054
404,	0.019618
405,	0.016515
406,	0.020884
407,	0.012697
408,	0.013258
409,	0.013824
410,	0.012697
411,	0.012907
412,	0.013089
413,	0.016752
414,	0.014181
415,	0.013225
416,	0.014064
417,	0.022767
418,	0.014112
419,	0.015375
420,	0.016736
421,	0.021964
422,	0.021779
423,	0.015344
424,	0.017402
425,	0.019584
426,	0.016167
427,	0.015723
428,	0.016181
429,	0.021300
430,	0.016320
431,	0.020863
432,	0.024400
433,	0.028858
434,	0.017246
435,	0.016228
436,	0.015079
437,	0.027098
438,	0.021823
439,	0.028073
440,	0.024883
441,	0.015441
442,	0.015765
443,	0.014531
444,	0.017849
445,	0.017636
446,	0.019255
447,	0.025655
448,	0.017521
449,	0.017802
450,	0.018501
451,	0.017383
452,	0.015629
453,	0.015395
454,	0.020892
455,	0.018968
456,	0.020230
457,	0.019005
458,	0.019078
459,	0.019490
460,	0.018810
461,	0.026846
462,	0.029215
463,	0.020501
464,	0.016990
465,	0.028082
466,	0.022871
467,	0.024253
468,	0.021761
469,	0.017678
470,	0.019025
471,	0.018521
472,	0.021145
473,	0.021431
474,	0.020623
475,	0.028171
476,	0.024786
477,	0.033547
478,	0.021929
479,	0.020979
480,	0.023230
481,	0.021472
482,	0.036274
483,	0.022283
484,	0.022398
485,	0.019553
486,	0.022379
487,	0.021478
488,	0.021649
489,	0.023008
490,	0.031603
491,	0.032221
492,	0.023309
493,	0.027908
494,	0.023253
495,	0.023953
496,	0.024515
497,	0.024468
498,	0.022775
499,	0.023116
500,	0.030198
501,	0.024522
502,	0.036817
503,	0.020491
504,	0.020604
505,	0.021843
506,	0.021576
507,	0.022195
508,	0.025863
509,	0.023406
510,	0.023172
511,	0.022822
512,	0.022482
513,	0.023514
514,	0.024398
515,	0.024094
516,	0.030405
517,	0.026740
518,	0.033442
519,	0.034713
520,	0.026340
521,	0.023748
522,	0.022788
523,	0.025814
524,	0.023090
525,	0.027865
526,	0.025956
527,	0.024263
528,	0.027403
529,	0.025803
530,	0.026547
531,	0.029523
532,	0.027874
533,	0.024535
534,	0.066736
535,	0.042921
536,	0.026573
537,	0.026736
538,	0.028480
539,	0.025472
540,	0.026052
541,	0.026425
542,	0.026696
543,	0.043586
544,	0.026027
545,	0.036191
546,	0.027227
547,	0.027816
548,	0.026929
549,	0.027753
550,	0.030001
551,	0.063889
552,	0.030105
553,	0.049516
554,	0.029128
555,	0.029622
556,	0.032419
557,	0.032291
558,	0.034250
559,	0.033560
560,	0.035966
561,	0.029080
562,	0.029241
