matrix_size,	elapsed_time
401,	0.011037
402,	0.011039
403,	0.011149
404,	0.011329
405,	0.011308
406,	0.011374
407,	0.011718
408,	0.011670
409,	0.011556
410,	0.011812
411,	0.011853
412,	0.011944
413,	0.011917
414,	0.012039
415,	0.014027
416,	0.013738
417,	0.014072
418,	0.020775
419,	0.024681
420,	0.015620
421,	0.012758
422,	0.012460
423,	0.012695
424,	0.012755
425,	0.012964
426,	0.013143
427,	0.013207
428,	0.013632
429,	0.013185
430,	0.012980
431,	0.013665
432,	0.021663
433,	0.019482
434,	0.013649
435,	0.013728
436,	0.013723
437,	0.013787
438,	0.013811
439,	0.013988
440,	0.013796
441,	0.015619
442,	0.013991
443,	0.014715
444,	0.014024
445,	0.025759
446,	0.014873
447,	0.015297
448,	0.014662
449,	0.015232
450,	0.015259
451,	0.015294
452,	0.015359
453,	0.015502
454,	0.015440
455,	0.015931
456,	0.015427
457,	0.019539
458,	0.016583
459,	0.016297
460,	0.016015
461,	0.016218
462,	0.015783
463,	0.016465
464,	0.016218
465,	0.016510
466,	0.016699
467,	0.020233
468,	0.016585
469,	0.017753
470,	0.017036
471,	0.017403
472,	0.017034
473,	0.017635
474,	0.017067
475,	0.017310
476,	0.017510
477,	0.017720
478,	0.017468
479,	0.018073
480,	0.017829
481,	0.018580
482,	0.017908
483,	0.018596
484,	0.018334
485,	0.023460
486,	0.019397
487,	0.019184
488,	0.019154
489,	0.019477
490,	0.025846
491,	0.019373
492,	0.023987
493,	0.019530
494,	0.019453
495,	0.020073
496,	0.019762
497,	0.021037
498,	0.020103
499,	0.020296
500,	0.020436
501,	0.021407
502,	0.021837
503,	0.020532
504,	0.020404
505,	0.024858
506,	0.023288
507,	0.023779
508,	0.023469
509,	0.024113
510,	0.021063
511,	0.021343
512,	0.020641
513,	0.021533
514,	0.021300
515,	0.027666
516,	0.025176
517,	0.025709
518,	0.025424
519,	0.022926
520,	0.056082
521,	0.041588
522,	0.043112
523,	0.034222
524,	0.023123
525,	0.023530
526,	0.023149
527,	0.023598
528,	0.023543
529,	0.024531
530,	0.027985
531,	0.027816
532,	0.027820
533,	0.027670
534,	0.028573
535,	0.030137
536,	0.028453
537,	0.029142
538,	0.028653
539,	0.029256
540,	0.029085
541,	0.026223
542,	0.030278
543,	0.031352
544,	0.027834
545,	0.029817
546,	0.029357
547,	0.029885
548,	0.027024
549,	0.034281
550,	0.028431
551,	0.031267
552,	0.030641
553,	0.031291
554,	0.030880
555,	0.031051
556,	0.031109
557,	0.031742
558,	0.031289
559,	0.031907
560,	0.031602
561,	0.032867
562,	0.033684
563,	0.033140
564,	0.032074
565,	0.029425
566,	0.034798
567,	0.033811
568,	0.029892
569,	0.028651
570,	0.029431
571,	0.029204
572,	0.028780
573,	0.036849
574,	0.039169
575,	0.032957
576,	0.029369
577,	0.029923
578,	0.029262
579,	0.031849
580,	0.029780
581,	0.032625
582,	0.031299
583,	0.034714
584,	0.035061
585,	0.034654
586,	0.034423
587,	0.035275
588,	0.034998
589,	0.031854
590,	0.031189
591,	0.035183
592,	0.031602
593,	0.036707
594,	0.032172
595,	0.035070
596,	0.033813
597,	0.034846
598,	0.036877
599,	0.037695
600,	0.037196
601,	0.034449
602,	0.037545
603,	0.038293
604,	0.035640
605,	0.037705
606,	0.035764
607,	0.046114
608,	0.035203
609,	0.035051
610,	0.034249
611,	0.035116
612,	0.050681
613,	0.035679
614,	0.034663
615,	0.035831
616,	0.035812
617,	0.035987
618,	0.035434
619,	0.037600
620,	0.035667
621,	0.048633
622,	0.049281
623,	0.045706
624,	0.066437
625,	0.061476
626,	0.068622
627,	0.058001
628,	0.073924
629,	0.070672
630,	0.043265
631,	0.039401
632,	0.039736
633,	0.040091
634,	0.040491
635,	0.040972
636,	0.039429
637,	0.040187
638,	0.039634
639,	0.040428
640,	0.040672
641,	0.041242
642,	0.041189
643,	0.041877
644,	0.040965
645,	0.041822
646,	0.048059
647,	0.046156
648,	0.041638
649,	0.049719
650,	0.049227
651,	0.049894
652,	0.043350
653,	0.048337
654,	0.043577
655,	0.044941
656,	0.056540
657,	0.044664
658,	0.044132
659,	0.045202
660,	0.044492
661,	0.046383
662,	0.051371
663,	0.052145
664,	0.048186
665,	0.046971
666,	0.045482
667,	0.046521
668,	0.045641
669,	0.047535
670,	0.047079
671,	0.050659
672,	0.047495
673,	0.048133
674,	0.047192
675,	0.048516
676,	0.049021
677,	0.049846
678,	0.048067
679,	0.048737
680,	0.048167
681,	0.049232
682,	0.048344
683,	0.049365
684,	0.048606
685,	0.049870
686,	0.049210
687,	0.050804
688,	0.049872
689,	0.052520
690,	0.050458
691,	0.051226
692,	0.050953
693,	0.051478
694,	0.050893
695,	0.051575
696,	0.050609
697,	0.051996
698,	0.051560
699,	0.052730
700,	0.061993
701,	0.053380
702,	0.052176
703,	0.053401
704,	0.053531
705,	0.054081
706,	0.054299
707,	0.053967
708,	0.052967
709,	0.053351
710,	0.052530
711,	0.053660
712,	0.059496
713,	0.060113
714,	0.055335
715,	0.061867
716,	0.059581
717,	0.055549
718,	0.054709
719,	0.056338
720,	0.057374
721,	0.059140
722,	0.060613
723,	0.058142
724,	0.057437
725,	0.059535
726,	0.059162
727,	0.065119
728,	0.059792
729,	0.059825
730,	0.061165
731,	0.062778
732,	0.061143
733,	0.064804
734,	0.068431
735,	0.069804
736,	0.068505
737,	0.070659
738,	0.069402
739,	0.071050
740,	0.064444
741,	0.063673
742,	0.061626
743,	0.072708
744,	0.071345
745,	0.073132
746,	0.071827
747,	0.073280
748,	0.072272
749,	0.074302
750,	0.073414
751,	0.074668
752,	0.089827
753,	0.065554
754,	0.064992
755,	0.065203
756,	0.065288
757,	0.065874
758,	0.064643
759,	0.066980
760,	0.064950
761,	0.066326
762,	0.065535
763,	0.066720
764,	0.065907
765,	0.067593
766,	0.066234
767,	0.068966
768,	0.067674
769,	0.069091
770,	0.067142
771,	0.070483
772,	0.067916
773,	0.089230
774,	0.068139
775,	0.069597
776,	0.068506
777,	0.071039
778,	0.070568
779,	0.071698
780,	0.070950
781,	0.079427
782,	0.072456
783,	0.100689
784,	0.072830
785,	0.074274
786,	0.072928
787,	0.074767
788,	0.073948
789,	0.074733
790,	0.073393
791,	0.074337
792,	0.073673
793,	0.075203
794,	0.105104
795,	0.075581
796,	0.076913
797,	0.081317
798,	0.075301
799,	0.078124
800,	0.077334
801,	0.078137
802,	0.078418
803,	0.079132
804,	0.078468
805,	0.081456
806,	0.082783
807,	0.080942
808,	0.080182
809,	0.081762
810,	0.080004
811,	0.080267
812,	0.079606
813,	0.102791
814,	0.082149
815,	0.083614
816,	0.081920
817,	0.082898
818,	0.105770
819,	0.102455
820,	0.081725
821,	0.084175
822,	0.122359
823,	0.127797
824,	0.114543
825,	0.087188
826,	0.116673
827,	0.087891
828,	0.086490
829,	0.087076
830,	0.083786
831,	0.089538
832,	0.085936
833,	0.088433
834,	0.087918
835,	0.115846
836,	0.088311
837,	0.091036
838,	0.089912
839,	0.091558
840,	0.090827
841,	0.092412
842,	0.090350
843,	0.089337
844,	0.091987
845,	0.094588
846,	0.090061
847,	0.093455
848,	0.093329
849,	0.094562
850,	0.093030
851,	0.094244
852,	0.099141
853,	0.098492
854,	0.094192
855,	0.094955
856,	0.096885
857,	0.094283
858,	0.097835
859,	0.095940
860,	0.094645
861,	0.098859
862,	0.095561
863,	0.099688
864,	0.097728
865,	0.098933
866,	0.098411
867,	0.102148
868,	0.099428
869,	0.096549
870,	0.094588
871,	0.102108
872,	0.128102
873,	0.112301
874,	0.097598
875,	0.099706
876,	0.098926
877,	0.123726
878,	0.099689
879,	0.101036
880,	0.099871
881,	0.108031
882,	0.100257
